Date;"Total Yield in Wh";"Target Yield Wh";"Specific Yield kWh/kWp";"Yield In $";"Target in $";"Difference Target / Actual %"
11/04/2020;118310;0;3.38;3.88;0.00;-100.00
11/05/2020;105150;0;3.01;3.45;0.00;-100.00
11/06/2020;108220;0;3.09;3.55;0.00;-100.00
11/07/2020;112030;0;3.20;3.67;0.00;-100.00
11/08/2020;95850;0;2.74;3.14;0.00;-100.00
11/09/2020;79140;0;2.26;2.60;0.00;-100.00
11/10/2020;4540;0;0.13;0.15;0.00;-100.00
11/11/2020;118950;0;3.40;3.90;0.00;-100.00
11/12/2020;101410;0;2.90;3.33;0.00;-100.00
11/13/2020;116410;0;3.33;3.82;0.00;-100.00
11/14/2020;37540;0;1.07;1.23;0.00;-100.00
11/15/2020;15040;0;0.43;0.49;0.00;-100.00
11/16/2020;57040;0;1.63;1.87;0.00;-100.00
11/17/2020;113690;0;3.25;3.73;0.00;-100.00
11/18/2020;98040;0;2.80;3.22;0.00;-100.00
11/19/2020;69010;0;1.97;2.26;0.00;-100.00
11/20/2020;86310;0;2.47;2.83;0.00;-100.00
11/21/2020;99600;0;2.85;3.27;0.00;-100.00
11/22/2020;44960;0;1.29;1.47;0.00;-100.00
11/23/2020;92100;0;2.63;3.02;0.00;-100.00
11/24/2020;0;0;0.00;0.00;0.00;-100.00
11/25/2020;7820;0;0.22;0.26;0.00;-100.00
11/26/2020;49290;0;1.41;1.62;0.00;-100.00
11/27/2020;82300;0;2.35;2.70;0.00;-100.00
11/28/2020;96330;0;2.75;3.16;0.00;-100.00
11/29/2020;69900;0;2.00;2.29;0.00;-100.00
11/30/2020;24060;0;0.69;0.79;0.00;-100.00
12/01/2020;98810;0;2.82;3.24;0.00;-100.00
12/02/2020;95230;0;2.72;3.12;0.00;-100.00
12/03/2020;53410;0;1.53;1.75;0.00;-100.00
12/04/2020;90460;0;2.59;2.97;0.00;-100.00
12/05/2020;72210;0;2.06;2.37;0.00;-100.00
12/06/2020;49060;0;1.40;1.61;0.00;-100.00
12/07/2020;14730;0;0.42;0.48;0.00;-100.00
12/08/2020;15500;0;0.44;0.51;0.00;-100.00
12/09/2020;85250;0;2.44;2.80;0.00;-100.00
12/10/2020;82170;0;2.35;2.70;0.00;-100.00
12/11/2020;5840;0;0.17;0.19;0.00;-100.00
12/12/2020;0;0;0.00;0.00;0.00;-100.00
12/13/2020;0;0;0.00;0.00;0.00;-100.00
12/14/2020;50;0;0.00;0.00;0.00;-100.00
12/15/2020;0;0;0.00;0.00;0.00;-100.00
12/16/2020;100;0;0.00;0.00;0.00;-100.00
12/17/2020;10;0;0.00;0.00;0.00;-100.00
12/18/2020;80;0;0.00;0.00;0.00;-100.00
12/19/2020;0;0;0.00;0.00;0.00;-100.00
12/20/2020;210;0;0.01;0.01;0.00;-100.00
12/21/2020;970;0;0.03;0.03;0.00;-100.00
12/22/2020;6200;0;0.18;0.20;0.00;-100.00
12/23/2020;27360;0;0.78;0.90;0.00;-100.00
12/24/2020;31950;0;0.91;1.05;0.00;-100.00
12/25/2020;89610;0;2.56;2.94;0.00;-100.00
12/26/2020;69500;0;1.99;2.28;0.00;-100.00
12/27/2020;21860;0;0.62;0.72;0.00;-100.00
12/28/2020;26510;0;0.76;0.87;0.00;-100.00
12/29/2020;17910;0;0.51;0.59;0.00;-100.00
12/30/2020;10;0;0.00;0.00;0.00;-100.00
12/31/2020;100;0;0.00;0.00;0.00;-100.00
